DRO PID, Title, Publication Type, Authors, ISSN, Parent Publication,Fields Of Research, Publication Year, Scopus Citation Count, Web of Science Citation Count, Journal Impact Factor, SJR, Abstract Views, File Downloads, URL, Open Access
DU:30101994,OSS: A Spatial Decision Support System for Optimal Zoning of Marine Protected Areas,Conference Paper,"Crossman, ND;Ostendorf, B;Bryan, Brett;Nefiodovas, A;Wright, A",,MODSIM 2005: INTERNATIONAL CONGRESS ON MODELLING AND SIMULATION: ADVANCES AND APPLICATIONS FOR MANAGEMENT AND DECISION MAKING,,2005,1,1,,,11,0,http://dro.deakin.edu.au/view/DU:30101994,FALSE
DU:30102006,Optimal Futures: Multi-Objective Programming Models for Generating Landscape Futures under Alternative Policy Options and Scenarios,Conference Paper,"Bryan, Brett;Crossman, ND;King, D",,MODSIM 2007: INTERNATIONAL CONGRESS ON MODELLING AND SIMULATION,,2007,0,0,,,10,0,http://dro.deakin.edu.au/view/DU:30102006,FALSE
DU:30102004,The Potential for Carbon Trading In the SA Murray Darling Basin: Modelling Farmer Decision Making,Conference Paper,"Ward, JR;Bryan, Brett;Crossman, ND;King, D",,MODSIM 2007: INTERNATIONAL CONGRESS ON MODELLING AND SIMULATION,,2007,2,1,,,6,0,http://dro.deakin.edu.au/view/DU:30102004,FALSE
DU:30101990,Koala ecology in the Mt Lofty Ranges: Another Kangaroo Island?,Journal Article,"Bryan, Brett",,South Australian Geographical Journal,"1604 Human Geography,0406 Physical Geography And Environmental Geoscience,1699 Other Studies In Human Society",1996,0,,,,7,0,http://dro.deakin.edu.au/view/DU:30101990,FALSE
DU:30103636,Production of a map of greenhouse gas emissions and energy use from Australian agriculture,Conference Paper,"Navarro, J;Bryan, Brett;Marinoni, O;Eady, S;Halog, A",,MODSIM 2013 : Adapting to change: the multiple roles of modelling : Proceedings of the 20th International Congress on Modelling and Simulation,050205 Environmental Management,2013,,0,,,164,6,http://dro.deakin.edu.au/view/DU:30103636,FALSE
DU:30103660,High-resolution continental scale modelling of Australian wheat yield; biophysical and management drivers,Conference Paper,"King, Darran;Bryan, Brett A.;Zhao, Gang;Luo, Zhongkui;Wang, Enli",,MODSIM 2013 : Proceedings of the 20th International Congress on Modelling and Simulation 2013,070103 Agricultural Production Systems Simulation,2013,,0,,,113,3,http://dro.deakin.edu.au/view/DU:30103660,FALSE
DU:30109720,Analysing landscape futures for dryland agricultural areas: A case study in the lower murray region of southern Australia,Journal Article,"Bryan, Brett;Crossman, ND;King, D",,Lecture Notes in Geoinformation and Cartography,,2008,4,,,,12,1,http://dro.deakin.edu.au/view/DU:30109720,FALSE
DU:30104739,Sensitivity in ecological modeling: from local to regional scales,Book Chapter,"Song, X.;Bryan, B. A.;Gao, L.;Zhao, G.;Dong, M.",,Sensitivity analysis in earth observation modelling,,2016,1,0,,,121,1,http://dro.deakin.edu.au/view/DU:30104739,FALSE
DU:30107058,A biodiversity-crisis hierarchy to evaluate and refine conservation indicators,Journal Article,"Driscoll, Don;Bland, Lucie;Bryan, Brett;Newsome, Thomas;Nicholson, Emily;Ritchie, Euan;Doherty, Timothy",,Nature ecology and evolution,,2018,4,4,,,168,1,http://dro.deakin.edu.au/view/DU:30107058,FALSE
DU:30119048,Improving the assessment of food system sustainability,Journal Article,"Ritchie, Euan",,The Lancet Planetary Health,,2019,,,,,0,0,http://dro.deakin.edu.au/view/DU:30119048,FALSE
